query,count
iphone,100000
iphone 15,85000
iphone 15 pro,72000
iphone 15 pro max,68000
iphone case,60000
iphone charger,55000
iphone 14,52000
iphone screen protector,40000
iphone 13,38000
iphone cable,30000
iphone 15 case,28000
iphone earphones,25000
iphone adapter,22000
iphone 12,20000
iphone holder,15000
samsung galaxy,90000
samsung galaxy s24,70000
samsung galaxy s24 ultra,65000
samsung tv,58000
samsung charger,42000
samsung galaxy buds,38000
samsung watch,35000
samsung tablet,30000
samsung monitor,27000
samsung ssd,24000
samsung galaxy case,20000
samsung soundbar,18000
laptop,95000
laptop bag,62000
laptop stand,50000
laptop charger,48000
laptop sleeve,40000
laptop cooling pad,32000
laptop backpack,30000
laptop skin,22000
laptop screen cleaner,18000
laptop ram,16000
headphones,88000
headphones wireless,64000
headphones bluetooth,60000
headphones noise cancelling,55000
headphones with mic,40000
headphones case,25000
headphones gaming,38000
headphones stand,15000
shoes,82000
shoes for men,58000
shoes for women,56000
shoes running,50000
shoes nike,48000
shoes adidas,45000
shoes casual,38000
shoes formal,30000
shoes white,28000
shoes black,26000
watch,80000
watch for men,54000
watch for women,52000
watch smart,60000
watch apple,58000
watch digital,35000
watch analog,30000
watch strap,28000
watch band,26000
camera,78000
camera dslr,52000
camera mirrorless,48000
camera tripod,40000
camera bag,35000
camera lens,42000
camera memory card,30000
camera gopro,38000
keyboard,72000
keyboard mechanical,58000
keyboard wireless,55000
keyboard gaming,50000
keyboard rgb,42000
keyboard bluetooth,38000
keyboard ergonomic,30000
mouse,70000
mouse wireless,56000
mouse gaming,52000
mouse bluetooth,44000
mouse pad,40000
mouse ergonomic,28000
monitor,75000
monitor 4k,52000
monitor gaming,50000
monitor curved,46000
monitor 27 inch,40000
monitor ultrawide,34000
monitor stand,28000
tablet,68000
tablet android,44000
tablet stand,40000
tablet case,38000
tablet keyboard,32000
tablet pen,28000
charger,72000
charger usb c,58000
charger wireless,54000
charger fast,50000
charger car,38000
charger power bank,46000
power bank,66000
power bank 20000mah,48000
power bank fast charging,42000
power bank slim,30000
speaker,64000
speaker bluetooth,56000
speaker portable,48000
speaker wireless,44000
speaker waterproof,36000
backpack,60000
backpack laptop,46000
backpack travel,42000
backpack school,40000
backpack waterproof,30000
